Contact Energy,Chemotaxis Lambda,Proliferative Probability,Phenotype,Probability
-4,18,1.0,No invasion,0.2
-4,21,0.0,Bulk invasion,1.0
-4,21,0.1,Bulk invasion,1.0
-4,21,0.2,Bulk invasion,1.0
-4,21,0.3,Bulk invasion,1.0
-4,21,0.4,Bulk invasion,1.0
-4,21,0.5,Bulk invasion,1.0
-4,21,0.6,Bulk invasion,1.0
-4,21,0.7,Bulk invasion,1.0
-4,21,0.8,Bulk invasion,1.0
-4,21,0.9,Bulk invasion,1.0
-4,21,1.0,Bulk invasion,1.0
-4,24,0.0,Bulk invasion,0.9
-4,24,0.0,Multimodal invasion,0.1
-4,24,0.1,Bulk invasion,0.8888888888888888
-4,24,0.1,Multimodal invasion,0.1111111111111111
-4,24,0.2,Bulk invasion,1.0
-4,24,0.3,Bulk invasion,0.9
-4,24,0.3,Multimodal invasion,0.1
-4,24,0.4,Bulk invasion,1.0
-4,24,0.5,Bulk invasion,0.8
-4,24,0.5,Multimodal invasion,0.2
-4,24,0.6,Bulk invasion,1.0
-4,24,0.7,Bulk invasion,0.8
-4,24,0.7,Multimodal invasion,0.2
-4,24,0.8,Bulk invasion,1.0
-4,24,0.9,Bulk invasion,0.9
-4,24,0.9,Multimodal invasion,0.1
-4,24,1.0,Bulk invasion,1.0
-4,27,0.0,Bulk invasion,0.5
-4,27,0.0,Multimodal invasion,0.5
-4,27,0.1,Bulk invasion,0.5555555555555556
-4,27,0.1,Multimodal invasion,0.4444444444444444
-4,27,0.2,Bulk invasion,0.9
-4,27,0.2,Multimodal invasion,0.1
-4,27,0.3,Bulk invasion,0.2
-4,27,0.3,Multimodal invasion,0.8
-4,27,0.4,Bulk invasion,0.6666666666666666
-4,27,0.4,Multimodal invasion,0.3333333333333333
-4,27,0.5,Bulk invasion,0.2
-4,27,0.5,Multimodal invasion,0.8
-4,27,0.6,Bulk invasion,0.4
-4,27,0.6,Multimodal invasion,0.6
-4,27,0.7,Bulk invasion,0.5
-4,27,0.7,Multimodal invasion,0.5
-4,27,0.8,Bulk invasion,0.4
-4,27,0.8,Multimodal invasion,0.6
-4,27,0.9,Bulk invasion,0.7
-4,27,0.9,Multimodal invasion,0.3
-4,27,1.0,Bulk invasion,0.6666666666666666
-4,27,1.0,Multimodal invasion,0.3333333333333333
-4,30,0.0,Bulk invasion,0.2222222222222222
-4,30,0.0,Multimodal invasion,0.7777777777777778
-4,30,0.1,Multimodal invasion,1.0
-4,30,0.2,Bulk invasion,0.1
-4,30,0.2,Multimodal invasion,0.9
-4,30,0.3,Multimodal invasion,1.0
-4,30,0.4,Multimodal invasion,1.0
-4,30,0.5,Multimodal invasion,1.0
-4,30,0.6,Multimodal invasion,1.0
-4,30,0.7,Multimodal invasion,1.0
-4,30,0.8,Multimodal invasion,1.0
-4,30,0.9,Multimodal invasion,1.0
-4,30,1.0,Multimodal invasion,1.0
-3,0,0.0,No invasion,1.0
-3,0,0.1,No invasion,1.0
-3,0,0.2,No invasion,1.0
-3,0,0.3,No invasion,1.0
-3,0,0.4,Bulk invasion,0.1111111111111111
-3,0,0.4,No invasion,0.8888888888888888
-3,0,0.5,No invasion,1.0
-3,0,0.6,No invasion,1.0
-3,0,0.7,No invasion,1.0
-3,0,0.8,No invasion,1.0
-3,0,0.9,No invasion,1.0
-3,0,1.0,No invasion,1.0
-3,3,0.0,No invasion,1.0
-3,3,0.1,No invasion,1.0
-3,3,0.2,No invasion,1.0
-3,3,0.3,No invasion,1.0
-3,3,0.4,No invasion,1.0
-3,3,0.5,No invasion,1.0
-3,3,0.6,No invasion,1.0
-3,3,0.7,No invasion,1.0
-3,3,0.8,No invasion,1.0
-3,3,0.9,No invasion,1.0
-3,3,1.0,No invasion,1.0
-3,6,0.0,No invasion,1.0
-3,6,0.1,No invasion,1.0
-3,6,0.2,Bulk invasion,0.1
-3,6,0.2,No invasion,0.9
-3,6,0.3,No invasion,1.0
-3,6,0.4,No invasion,1.0
-3,6,0.5,No invasion,1.0
-3,6,0.6,No invasion,1.0
-3,6,0.7,No invasion,1.0
-3,6,0.8,No invasion,1.0
-3,6,0.9,No invasion,1.0
-3,6,1.0,No invasion,1.0
-3,9,0.0,Bulk invasion,0.1
-3,9,0.0,No invasion,0.9
-3,9,0.1,Bulk invasion,0.2
-3,9,0.1,No invasion,0.8
-3,9,0.2,No invasion,1.0
-3,9,0.3,No invasion,1.0
-3,9,0.4,Bulk invasion,0.2
-3,9,0.4,No invasion,0.8
-3,9,0.5,No invasion,1.0
-3,9,0.6,No invasion,1.0
-3,9,0.7,No invasion,1.0
-3,9,0.8,No invasion,1.0
-3,9,0.9,No invasion,1.0
-3,9,1.0,Bulk invasion,0.2
-3,9,1.0,No invasion,0.8
-3,12,0.0,Bulk invasion,0.4
-3,12,0.0,No invasion,0.6
-3,12,0.1,Bulk invasion,0.4
-3,12,0.1,No invasion,0.6
-3,12,0.2,Bulk invasion,0.2
-3,12,0.2,No invasion,0.8
-3,12,0.3,Bulk invasion,0.5
-3,12,0.3,No invasion,0.5
-3,12,0.4,Bulk invasion,0.5
-3,12,0.4,No invasion,0.5
-3,12,0.5,Bulk invasion,0.2
-3,12,0.5,No invasion,0.8
-3,12,0.6,Bulk invasion,0.6
-3,12,0.6,No invasion,0.4
-3,12,0.7,Bulk invasion,0.3
-3,12,0.7,No invasion,0.7
-3,12,0.8,Bulk invasion,0.4
-3,12,0.8,No invasion,0.6
-3,12,0.9,Bulk invasion,0.4
-3,12,0.9,No invasion,0.6
-3,12,1.0,Bulk invasion,0.4
-3,12,1.0,No invasion,0.6
-3,15,0.0,Bulk invasion,0.9
-3,15,0.0,No invasion,0.1
-3,15,0.1,Bulk invasion,0.8
-3,15,0.1,No invasion,0.2
-3,15,0.2,Bulk invasion,0.9
-3,15,0.2,No invasion,0.1
-3,15,0.3,Bulk invasion,1.0
-3,15,0.4,Bulk invasion,1.0
-3,15,0.5,Bulk invasion,1.0
-3,15,0.6,Bulk invasion,1.0
-3,15,0.7,Bulk invasion,0.8
-3,15,0.7,No invasion,0.2
-3,15,0.8,Bulk invasion,1.0
-3,15,0.9,Bulk invasion,0.8
-3,15,0.9,No invasion,0.2
-3,15,1.0,Bulk invasion,1.0
-3,18,0.0,Bulk invasion,1.0
-3,18,0.1,Bulk invasion,1.0
-3,18,0.2,Bulk invasion,1.0
-3,18,0.3,Bulk invasion,1.0
-3,18,0.4,Bulk invasion,1.0
-3,18,0.5,Bulk invasion,1.0
-3,18,0.6,Bulk invasion,1.0
-3,18,0.7,Bulk invasion,1.0
-3,18,0.8,Bulk invasion,1.0
-3,18,0.9,Bulk invasion,1.0
-3,18,1.0,Bulk invasion,1.0
-3,21,0.0,Bulk invasion,0.7
-3,21,0.0,Multimodal invasion,0.3
-3,21,0.1,Bulk invasion,1.0
-3,21,0.2,Bulk invasion,0.9
-3,21,0.2,Multimodal invasion,0.1
-3,21,0.3,Bulk invasion,0.9
-3,21,0.3,Multimodal invasion,0.1
-3,21,0.4,Bulk invasion,0.9
-3,21,0.4,Multimodal invasion,0.1
-3,21,0.5,Bulk invasion,1.0
-3,21,0.6,Bulk invasion,1.0
-3,21,0.7,Bulk invasion,0.9
-3,21,0.7,Multimodal invasion,0.1
-3,21,0.8,Bulk invasion,0.8
-3,21,0.8,Multimodal invasion,0.2
-3,21,0.9,Bulk invasion,1.0
-3,21,1.0,Bulk invasion,1.0
