Jlf,mu,PP,ClusterUID,ClusterID_renum,Leader Cells,Follower Cells,Total Cells,Leader %,Dominance,Centroid_X,Centroid_Y,PersistenceTime,TimeRange,Centroid_Displacement,Velocity,MeanSize_over_time,StdSize_over_time,ClusterSizeCV_over_time,Phenotypic Index,Entropy
-4.0,30.0,0.1,0_1,1,3,2,5,60.0,Leader-dominated,457.8280701754381,69.41426000899685,9,620-700,8.251548756326114,0.9168387507029016,5.0,0.0,0.0,0.2,0.9709505944546686
-4.0,30.0,0.1,4_1,2,2,1,3,66.66666666666667,Leader-dominated,152.37655677655636,58.42051282051282,14,570-700,4.593417299473348,0.3281012356766677,3.0,0.0,0.0,0.3333333333333333,0.9182958340544896
-4.0,30.0,0.1,5_1,3,1,1,2,50.0,Follower-dominated,149.93438914027223,70.41628959276018,10,610-700,109.88539198153092,10.988539198153092,2.8,0.9189365834726815,0.32819163695452913,0.0,1.0
-4.0,30.0,0.1,5_2,4,2,1,3,66.66666666666667,Leader-dominated,261.27766351295804,79.39997257644318,5,660-700,4.6615581365961685,0.9323116273192337,3.0,0.0,0.0,0.3333333333333333,0.9182958340544896
-4.0,30.0,0.1,8_1,5,2,1,3,66.66666666666667,Leader-dominated,322.5654761904759,77.03625541125541,11,600-700,11.634096123703657,1.0576451021548778,3.0,0.0,0.0,0.3333333333333333,0.9182958340544896
-4.0,30.0,0.2,0_1,1,2,1,3,66.66666666666667,Leader-dominated,196.45574162679395,73.48096092503987,11,600-700,7.944365323149052,0.7222150293771865,3.0,0.0,0.0,0.3333333333333333,0.9182958340544896
-4.0,30.0,0.2,0_2,2,2,1,3,66.66666666666667,Leader-dominated,356.5469824293343,73.55474917239623,8,630-700,114.05236732646885,14.256545915808607,3.0,0.0,0.0,0.3333333333333333,0.9182958340544896
-4.0,30.0,0.2,0_3,3,2,1,3,66.66666666666667,Leader-dominated,470.3756613756618,74.99206349206348,5,660-700,1.1078814235130445,0.2215762847026089,3.0,0.0,0.0,0.3333333333333333,0.9182958340544896
-4.0,30.0,0.2,1_1,4,2,1,3,66.66666666666667,Leader-dominated,352.06213450292483,69.80409356725146,3,680-700,50.561438307236855,16.853812769078953,3.6666666666666665,0.5773502691896258,0.15745916432444343,0.3333333333333333,0.9182958340544896
-4.0,30.0,0.2,1_2,5,3,1,4,75.0,Leader-dominated,402.3727272727269,74.53636363636363,1,700-700,0.0,0.0,4.0,,,0.5,0.8112781244591328
-4.0,30.0,0.2,3_1,6,2,1,3,66.66666666666667,Leader-dominated,482.0462962962963,80.07870370370371,3,680-700,2.8875853001276512,0.9625284333758838,3.0,0.0,0.0,0.3333333333333333,0.9182958340544896
-4.0,30.0,0.2,4_1,7,3,1,4,75.0,Leader-dominated,45.198801198801235,72.5924075924076,1,700-700,0.0,0.0,4.0,,,0.5,0.8112781244591328
-4.0,30.0,0.2,6_1,8,2,2,4,50.0,Follower-dominated,168.91973304473274,67.7267316017316,2,690-700,0.761311745535984,0.380655872767992,4.0,0.0,0.0,0.0,1.0
-4.0,30.0,0.2,9_1,9,2,2,4,50.0,Follower-dominated,166.02187812187853,69.31261238761239,11,600-700,1.8790259297705552,0.17082053907005046,4.0,0.0,0.0,0.0,1.0
-4.0,30.0,0.3,1_1,1,3,3,6,50.0,Follower-dominated,376.59201631701666,66.89845247345248,33,380-700,36.65911610999697,1.1108823063635447,3.090909090909091,1.1822551639672683,0.3824943177541162,0.0,1.0
-4.0,30.0,0.3,1_2,2,1,1,2,50.0,Follower-dominated,406.9999999999997,73.0,4,670-700,0.2601736178375651,0.06504340445939127,2.0,0.0,0.0,0.0,1.0
-4.0,30.0,0.3,4_1,3,1,1,2,50.0,Follower-dominated,485.7307692307692,72.10407239819006,21,500-700,12.489076316406823,0.5947179198288963,2.0,0.0,0.0,0.0,1.0
-4.0,30.0,0.4,0_1,1,3,2,5,60.0,Leader-dominated,401.95658750456744,64.19980270369017,2,690-700,0.6795777393698685,0.33978886968493427,5.0,0.0,0.0,0.2,0.9709505944546686
-4.0,30.0,0.4,4_1,2,1,1,2,50.0,Follower-dominated,227.29999999999933,65.3,1,670-670,0.0,0.0,2.0,,,0.0,1.0
-4.0,30.0,0.4,8_1,3,1,1,2,50.0,Follower-dominated,334.5394736842106,56.11513157894737,23,380-600,5.3597528803845345,0.23303273392976237,2.0,0.0,0.0,0.0,1.0
-4.0,30.0,0.5,2_1,1,3,3,6,50.0,Follower-dominated,300.85897435897374,76.9642094017094,3,680-700,2.541280533413712,0.847093511137904,6.666666666666667,0.5773502691896258,0.08660254037844388,0.0,1.0
-4.0,30.0,0.5,4_1,2,2,1,3,66.66666666666667,Leader-dominated,465.1527777777778,72.04444444444444,14,570-700,376.3676480281863,26.883403430584735,3.4285714285714284,0.5135525910130956,0.14978617237881955,0.3333333333333333,0.9182958340544896
-4.0,30.0,0.5,4_2,3,2,1,3,66.66666666666667,Leader-dominated,464.6307692307692,67.68803418803418,6,570-640,4.795081253185492,0.7991802088642487,3.0,0.0,0.0,0.3333333333333333,0.9182958340544896
-4.0,30.0,0.5,5_1,4,1,1,2,50.0,Follower-dominated,262.68749999999847,75.83333333333334,6,550-700,109.62048724244764,18.270081207074607,2.3333333333333335,0.816496580927726,0.34992710611188255,0.0,1.0
-4.0,30.0,0.5,6_1,5,1,1,2,50.0,Follower-dominated,45.17708333333364,76.66666666666666,30,410-700,27.238513841337245,0.9079504613779081,2.0,0.0,0.0,0.0,1.0
-4.0,30.0,0.5,9_1,6,1,1,2,50.0,Follower-dominated,42.88484848484819,82.55757575757576,29,420-700,29.03443991813334,1.0011875833839083,2.0,0.0,0.0,0.0,1.0
-4.0,30.0,0.5,9_2,7,4,4,8,50.0,Follower-dominated,242.1491929945053,77.58828983516483,5,660-700,3.4322009690989947,0.6864401938197989,8.0,0.0,0.0,0.0,1.0
-4.0,30.0,0.6,0_1,1,1,1,2,50.0,Follower-dominated,446.9047619047624,73.3452380952381,20,510-700,18.39695620453396,0.919847810226698,2.0,0.0,0.0,0.0,1.0
-4.0,30.0,0.6,1_1,2,3,1,4,75.0,Leader-dominated,203.7607323232324,80.53156565656565,25,430-700,179.08176757871084,7.1632707031484335,3.44,0.5066228051190221,0.1472740712555297,0.5,0.8112781244591328
-4.0,30.0,0.6,2_1,3,2,3,5,40.0,Follower-dominated,43.07136752136759,81.4494017094017,30,400-700,26.146375239014045,0.8715458413004682,5.0,0.0,0.0,0.2,0.9709505944546686
-4.0,30.0,0.6,2_2,4,2,1,3,66.66666666666667,Leader-dominated,126.47017797017814,72.41774891774891,16,550-700,13.009206825005881,0.8130754265628676,3.0,0.0,0.0,0.3333333333333333,0.9182958340544896
-4.0,30.0,0.6,3_1,5,2,1,3,66.66666666666667,Leader-dominated,108.51851851851852,70.73148148148148,2,690-700,0.9255355658624291,0.46276778293121457,3.0,0.0,0.0,0.3333333333333333,0.9182958340544896
-4.0,30.0,0.6,5_1,6,1,1,2,50.0,Follower-dominated,72.74615384615326,64.56923076923076,6,650-700,319.1839904378887,53.19733173964812,3.3333333333333335,1.0327955589886446,0.30983866769659335,0.0,1.0
-4.0,30.0,0.6,5_2,7,2,2,4,50.0,Follower-dominated,391.38858537296073,79.45516462703962,2,690-700,0.9987636433312351,0.49938182166561756,4.0,0.0,0.0,0.0,1.0
-4.0,30.0,0.6,6_1,8,1,1,2,50.0,Follower-dominated,424.83333333333275,70.26666666666667,3,680-700,1.1570465380499697,0.3856821793499899,2.0,0.0,0.0,0.0,1.0
-4.0,30.0,0.6,8_1,9,2,1,3,66.66666666666667,Leader-dominated,82.54166666666616,84.35277777777777,16,550-700,13.17766464973469,0.8236040406084181,3.0,0.0,0.0,0.3333333333333333,0.9182958340544896
-4.0,30.0,0.7,0_1,1,1,1,2,50.0,Follower-dominated,46.62500000000017,70.5,15,560-700,11.618228924547694,0.7745485949698463,2.0,0.0,0.0,0.0,1.0
-4.0,30.0,0.7,7_1,2,1,1,2,50.0,Follower-dominated,23.98951048950974,74.27622377622379,10,610-700,8.37051033676925,0.837051033676925,2.0,0.0,0.0,0.0,1.0
-4.0,30.0,0.7,8_1,3,1,1,2,50.0,Follower-dominated,77.6321428571438,68.48928571428571,23,420-700,29.904230214030093,1.3001839223491345,2.391304347826087,0.4990108793478453,0.20867727681818987,0.0,1.0
-4.0,30.0,0.8,1_1,1,2,1,3,66.66666666666667,Leader-dominated,161.3974358974361,69.57051282051282,1,700-700,0.0,0.0,3.0,,,0.3333333333333333,0.9182958340544896
-4.0,30.0,0.8,2_1,2,1,1,2,50.0,Follower-dominated,328.15000000000117,67.6,4,670-700,4.189835584151497,1.0474588960378743,2.0,0.0,0.0,0.0,1.0
-4.0,30.0,0.8,3_1,3,1,1,2,50.0,Follower-dominated,151.52255639097717,67.77819548872179,6,570-620,1.7950038851266097,0.29916731418776826,2.0,0.0,0.0,0.0,1.0
-4.0,30.0,0.8,4_1,4,1,1,2,50.0,Follower-dominated,399.0549450549453,82.90934065934067,19,520-700,17.858242898398785,0.9399075209683572,2.0,0.0,0.0,0.0,1.0
-4.0,30.0,0.8,6_1,5,2,2,4,50.0,Follower-dominated,4.305555555555261,73.36944444444444,10,610-700,5.542109081210842,0.5542109081210842,4.0,0.0,0.0,0.0,1.0
-4.0,30.0,0.8,6_2,6,2,1,3,66.66666666666667,Leader-dominated,353.43809523809415,63.55357142857142,4,670-700,2.0075021574778376,0.5018755393694594,3.0,0.0,0.0,0.3333333333333333,0.9182958340544896
-4.0,30.0,0.8,6_3,7,1,1,2,50.0,Follower-dominated,388.26041666666663,70.55208333333334,1,700-700,0.0,0.0,2.0,,,0.0,1.0
-4.0,30.0,0.8,7_1,8,2,2,4,50.0,Follower-dominated,21.68134920634946,70.2436507936508,6,650-700,4.990658679562761,0.8317764465937936,4.0,0.0,0.0,0.0,1.0
-4.0,30.0,0.9,3_1,1,4,3,7,57.142857142857146,Follower-dominated,235.97653061224509,74.05215419501134,1,700-700,0.0,0.0,7.0,,,0.14285714285714285,0.9852281360342515
-4.0,30.0,0.9,4_1,2,3,2,5,60.0,Leader-dominated,76.70015082956316,68.28457229045463,4,670-700,1.721569052655618,0.4303922631639045,5.0,0.0,0.0,0.2,0.9709505944546686
-4.0,30.0,0.9,5_1,3,1,1,2,50.0,Follower-dominated,213.9722222222229,68.27777777777777,12,590-700,2.5438243327171914,0.21198536105976595,2.9166666666666665,0.28867513459481287,0.09897433186107871,0.0,1.0
-4.0,30.0,0.9,5_2,4,2,1,3,66.66666666666667,Leader-dominated,240.4699074074084,72.875,7,640-700,8.939160373172506,1.2770229104532151,3.0,0.0,0.0,0.3333333333333333,0.9182958340544896
-4.0,30.0,0.9,6_1,5,2,3,5,40.0,Follower-dominated,47.37917944628451,68.56263137447347,4,650-680,1.0391566532430125,0.25978916331075314,5.0,0.0,0.0,0.2,0.9709505944546686
-4.0,30.0,0.9,8_1,6,1,1,2,50.0,Follower-dominated,405.3785425101214,78.65789473684211,22,490-700,16.285838618662396,0.7402653917573816,2.0,0.0,0.0,0.0,1.0
-4.0,30.0,0.9,8_2,7,2,1,3,66.66666666666667,Leader-dominated,439.4710338680928,65.12967914438502,5,590-630,0.7466916857162113,0.14933833714324224,3.0,0.0,0.0,0.3333333333333333,0.9182958340544896
-4.0,30.0,0.9,9_1,8,1,1,2,50.0,Follower-dominated,494.8437500000001,78.40625,20,510-700,18.492920843054574,0.9246460421527287,2.0,0.0,0.0,0.0,1.0
-4.0,30.0,1.0,0_1,1,1,1,2,50.0,Follower-dominated,230.9285714285714,76.39285714285714,33,380-700,233.4133524872369,7.073131893552633,2.0,0.0,0.0,0.0,1.0
-4.0,30.0,1.0,0_2,2,1,1,2,50.0,Follower-dominated,463.5735294117647,57.42647058823529,14,550-680,233.85728807082646,16.70409200505903,2.0,0.0,0.0,0.0,1.0
-4.0,30.0,1.0,0_3,3,1,1,2,50.0,Follower-dominated,463.5504201680671,55.739495798319325,3,550-570,0.05882352941182489,0.019607843137274966,2.0,0.0,0.0,0.0,1.0
-4.0,30.0,1.0,1_1,4,2,1,3,66.66666666666667,Leader-dominated,104.3060834590246,75.93303167420814,22,490-700,15.90867433002786,0.7231215604558119,3.0,0.0,0.0,0.3333333333333333,0.9182958340544896
-4.0,30.0,1.0,2_1,5,2,3,5,40.0,Follower-dominated,391.720909090909,66.5382683982684,16,390-700,71.99194344376957,4.499496465235598,4.9375,0.25,0.05063291139240506,0.2,0.9709505944546686
-4.0,30.0,1.0,2_2,6,1,1,2,50.0,Follower-dominated,408.9022556390982,65.45864661654136,8,630-700,2.6214381016071857,0.3276797627008982,2.0,0.0,0.0,0.0,1.0
-4.0,30.0,1.0,5_1,7,1,1,2,50.0,Follower-dominated,108.2658730158727,71.94444444444444,21,500-700,19.267795451140476,0.9175140691019275,2.0,0.0,0.0,0.0,1.0
-4.0,30.0,1.0,5_2,8,2,1,3,66.66666666666667,Leader-dominated,191.0815850815852,79.3986013986014,4,670-700,3.195223665357862,0.7988059163394655,3.0,0.0,0.0,0.3333333333333333,0.9182958340544896
-4.0,30.0,1.0,6_1,9,1,1,2,50.0,Follower-dominated,298.0909090909097,50.05909090909091,1,410-410,0.0,0.0,2.0,,,0.0,1.0
-4.0,30.0,1.0,7_1,10,2,1,3,66.66666666666667,Leader-dominated,352.59444444444586,74.98333333333333,1,700-700,0.0,0.0,3.0,,,0.3333333333333333,0.9182958340544896
