Contact Energy,Chemotaxis Lambda,Proliferative Probability,Invasive Area_mean,Invasive Area_std,Invasive Area_count,Infiltrative Area_mean,Infiltrative Area_std,Infiltrative Area_count,Singles_mean,Singles_std,Singles_count,Fingers_mean,Fingers_std,Fingers_count,Clusters_mean,Clusters_std,Clusters_count,Invasive Area_sem,Infiltrative Area_sem,Singles_sem,Fingers_sem,Clusters_sem
-5,12,0.0,2905.25,590.5504141617943,10,2905.25,590.5504141617943,10,0.0,0.0,10,0.5,0.8498365855987975,10,0.0,0.0,10,186.7484381907026,186.7484381907026,0.0,0.26874192494328497,0.0
-5,12,0.1,2491.5,605.1495682886999,10,2491.5,605.1495682886999,10,0.0,0.0,10,0.5,0.7071067811865476,10,0.0,0.0,10,191.36509608598948,191.36509608598948,0.0,0.22360679774997896,0.0
-5,12,0.2,2352.05,475.1225835975853,10,2352.05,475.1225835975853,10,0.0,0.0,10,0.1,0.31622776601683794,10,0.0,0.0,10,150.2469531952127,150.2469531952127,0.0,0.09999999999999999,0.0
-5,12,0.3,2638.9,465.34782689940647,10,2638.9,465.34782689940647,10,0.0,0.0,10,0.7,0.48304589153964794,10,0.0,0.0,10,147.1559037211895,147.1559037211895,0.0,0.15275252316519466,0.0
-5,12,0.4,2373.25,369.69907056655927,10,2373.25,369.69907056655927,10,0.0,0.0,10,0.3,0.6749485577105528,10,0.0,0.0,10,116.90911118376435,116.90911118376435,0.0,0.21343747458109494,0.0
-5,12,0.5,2476.7,508.8666164461306,10,2476.7,508.8666164461306,10,0.0,0.0,10,0.4,0.6992058987801011,10,0.0,0.0,10,160.917753319307,160.917753319307,0.0,0.22110831935702666,0.0
-5,12,0.6,2565.6,321.4466259479687,10,2565.6,321.4466259479687,10,0.0,0.0,10,0.2,0.4216370213557839,10,0.0,0.0,10,101.65034841717626,101.65034841717626,0.0,0.13333333333333333,0.0
-5,12,0.7,2427.7,366.5504512796749,10,2427.7,366.5504512796749,10,0.0,0.0,10,0.3,0.6749485577105528,10,0.0,0.0,10,115.91343034063539,115.91343034063539,0.0,0.21343747458109494,0.0
-5,12,0.8,2364.25,407.3538081324391,10,2364.25,407.3538081324391,10,0.0,0.0,10,0.3,0.6749485577105528,10,0.0,0.0,10,128.81658472417283,128.81658472417283,0.0,0.21343747458109494,0.0
-5,12,0.9,2196.4,461.18830812972215,10,2196.4,461.18830812972215,10,0.0,0.0,10,0.3,0.48304589153964794,10,0.0,0.0,10,145.8405483929471,145.8405483929471,0.0,0.15275252316519466,0.0
-5,12,1.0,2453.3,411.9755386481635,10,2453.3,411.9755386481635,10,0.0,0.0,10,0.5,0.5270462766947299,10,0.0,0.0,10,130.2781042402922,130.2781042402922,0.0,0.16666666666666666,0.0
-5,15,0.0,2671.05,352.9506142665162,10,2671.05,352.9506142665162,10,0.0,0.0,10,0.8,0.6324555320336759,10,0.0,0.0,10,111.6127842637711,111.6127842637711,0.0,0.19999999999999998,0.0
-5,15,0.1,2767.1,628.6426206076425,10,2767.1,628.6426206076425,10,0.0,0.0,10,1.0,0.9428090415820634,10,0.0,0.0,10,198.79425153772536,198.79425153772536,0.0,0.2981423969999719,0.0
-5,15,0.2,2519.4,478.6265535652799,10,2519.4,478.6265535652799,10,0.0,0.0,10,0.5,0.7071067811865476,10,0.0,0.0,10,151.35500579028687,151.35500579028687,0.0,0.22360679774997896,0.0
-5,15,0.3,2920.75,513.0917315646394,10,2920.75,513.0917315646394,10,0.0,0.0,10,0.9,0.5676462121975466,10,0.0,0.0,10,162.253852034397,162.253852034397,0.0,0.1795054935711501,0.0
-5,15,0.4,2758.6,450.2805175048599,10,2758.6,450.2805175048599,10,0.0,0.0,10,0.3,0.6749485577105528,10,0.0,0.0,10,142.39120213146754,142.39120213146754,0.0,0.21343747458109494,0.0
-5,15,0.5,2777.85,581.8443401040446,10,2777.85,581.8443401040446,10,0.0,0.0,10,0.7,0.8232726023485646,10,0.0,0.0,10,183.99533584064326,183.99533584064326,0.0,0.2603416558635551,0.0
-5,15,0.6,2821.55,564.6446006117477,10,2821.55,564.6446006117477,10,0.0,0.0,10,1.1,0.8755950357709131,10,0.0,0.0,10,178.55630064492266,178.55630064492266,0.0,0.27688746209726917,0.0
-5,15,0.7,2574.5,474.9484767377988,10,2574.5,474.9484767377988,10,0.0,0.0,10,0.9,0.737864787372622,10,0.0,0.0,10,150.19189577189422,150.19189577189422,0.0,0.23333333333333336,0.0
-5,15,0.8,2770.25,482.74730277168123,10,2770.25,482.74730277168123,10,0.0,0.0,10,0.7,0.674948557710553,10,0.0,0.0,10,152.65810110614282,152.65810110614282,0.0,0.21343747458109497,0.0
-5,15,0.9,2594.2,225.3647907036255,10,2594.2,225.3647907036255,10,0.0,0.0,10,0.6,0.9660917830792958,10,0.0,0.0,10,71.26660430305972,71.26660430305972,0.0,0.3055050463303893,0.0
-5,15,1.0,2646.55,469.3806468812563,10,2646.55,469.3806468812563,10,0.0,0.0,10,1.0,0.816496580927726,10,0.0,0.0,10,148.43119337479794,148.43119337479794,0.0,0.2581988897471611,0.0
-5,18,0.0,3391.2,619.3197074209734,10,3391.2,619.3197074209734,10,0.0,0.0,10,1.2,0.9189365834726815,10,0.0,0.0,10,195.84608752793608,195.84608752793608,0.0,0.29059326290271154,0.0
-5,18,0.1,2944.6,425.8385061655807,10,2944.6,425.8385061655807,10,0.0,0.0,10,0.8,1.0327955589886446,10,0.0,0.0,10,134.66195948868906,134.66195948868906,0.0,0.32659863237109044,0.0
-5,18,0.2,3143.75,492.0104588996728,10,3143.75,492.0104588996728,10,0.0,0.0,10,1.6,0.8432740427115678,10,0.0,0.0,10,155.58736827476278,155.58736827476278,0.0,0.26666666666666666,0.0
-5,18,0.3,3294.1,558.5966941064605,10,3294.1,558.5966941064605,10,0.0,0.0,10,0.9,0.8755950357709131,10,0.0,0.0,10,176.64378468167698,176.64378468167698,0.0,0.27688746209726917,0.0
-5,18,0.4,2675.1,566.7546402299873,10,2675.1,566.7546402299873,10,0.0,0.0,10,1.4,0.8432740427115678,10,0.0,0.0,10,179.22355375960558,179.22355375960558,0.0,0.26666666666666666,0.0
-5,18,0.5,3069.5,550.1901186559667,10,3069.5,550.1901186559667,10,0.0,0.0,10,1.3,1.7669811040931427,10,0.0,0.0,10,173.98539210711533,173.98539210711533,0.0,0.5587684871413402,0.0
-5,18,0.6,2874.15,450.83854279183663,10,2874.15,450.83854279183663,10,0.0,0.0,10,1.3,1.3374935098492586,10,0.0,0.0,10,142.56766522134907,142.56766522134907,0.0,0.42295258468165065,0.0
-5,18,0.7,3167.85,650.9279295317143,10,3167.85,650.9279295317143,10,0.0,0.0,10,1.5,1.178511301977579,10,0.0,0.0,10,205.84148499377972,205.84148499377972,0.0,0.3726779962499649,0.0
-5,18,0.8,2863.8,371.83473031263054,10,2863.8,371.83473031263054,10,0.0,0.0,10,1.1,1.3703203194062976,10,0.0,0.0,10,117.58446609423656,117.58446609423656,0.0,0.4333333333333333,0.0
-5,18,0.9,3023.85,740.716621852709,10,3023.85,740.716621852709,10,0.0,0.0,10,1.1,0.7378647873726218,10,0.0,0.0,10,234.23516258002107,234.23516258002107,0.0,0.2333333333333333,0.0
-5,18,1.0,2836.65,262.02587340438987,10,2836.65,262.02587340438987,10,0.0,0.0,10,1.5,0.8498365855987975,10,0.0,0.0,10,82.859856585281,82.859856585281,0.0,0.26874192494328497,0.0
-5,21,0.0,3604.9,613.6327982687293,10,3604.9,613.6327982687293,10,0.0,0.0,10,3.3,1.1595018087284057,10,0.0,0.0,10,194.04772895118123,194.04772895118123,0.0,0.36666666666666664,0.0
-5,21,0.1,3746.4,634.3102465583296,10,3746.4,634.3102465583296,10,0.0,0.0,10,3.5,1.5092308563562358,10,0.0,0.0,10,200.58651223073022,200.58651223073022,0.0,0.4772607021092116,0.0
-5,21,0.2,3514.0,673.1615705014659,10,3514.0,673.1615705014659,10,0.0,0.0,10,2.6,1.2649110640673518,10,0.0,0.0,10,212.8723796080647,212.8723796080647,0.0,0.39999999999999997,0.0
-5,21,0.3,3724.2,805.746693032825,10,3760.6,803.6659339136712,10,0.1,0.31622776601683794,10,2.5,1.35400640077266,10,0.0,0.0,10,254.7994767132251,254.14148290535593,0.09999999999999999,0.4281744192888376,0.0
-5,21,0.4,3407.0,627.6893693893854,10,3407.0,627.6893693893854,10,0.0,0.0,10,2.2,1.2292725943057181,10,0.0,0.0,10,198.4928070345231,198.4928070345231,0.0,0.38873012632301995,0.0
-5,21,0.5,3980.7,740.1537828196396,10,3980.7,740.1537828196396,10,0.0,0.0,10,2.1,0.8755950357709131,10,0.0,0.0,10,234.05717724996646,234.05717724996646,0.0,0.27688746209726917,0.0
-5,21,0.6,3827.15,735.3952093186962,10,3827.15,735.3952093186962,10,0.0,0.0,10,2.5,0.7071067811865476,10,0.0,0.0,10,232.5523841823362,232.5523841823362,0.0,0.22360679774997896,0.0
-5,21,0.7,3554.35,608.8015116239081,10,3554.35,608.8015116239081,10,0.0,0.0,10,2.6,1.1737877907772671,10,0.0,0.0,10,192.51994196850245,192.51994196850245,0.0,0.3711842908553347,0.0
-5,21,0.8,3394.4,532.5576025182628,10,3394.4,532.5576025182628,10,0.0,0.0,10,2.6,0.6992058987801011,10,0.0,0.0,10,168.4095009196334,168.4095009196334,0.0,0.22110831935702666,0.0
-5,21,0.9,3495.3,689.4592567125825,10,3495.3,689.4592567125825,10,0.0,0.0,10,2.1,0.9944289260117533,10,0.0,0.0,10,218.02616050984952,218.02616050984952,0.0,0.31446603773522014,0.0
-5,21,1.0,3692.35,948.135862568698,10,3692.35,948.135862568698,10,0.0,0.0,10,2.7,1.3374935098492586,10,0.0,0.0,10,299.82688570054705,299.82688570054705,0.0,0.42295258468165065,0.0
-5,24,0.0,4757.2,911.8548617454913,10,4757.2,911.8548617454913,10,0.0,0.0,10,4.9,1.1972189997378648,10,0.0,0.0,10,288.35382586136933,288.35382586136933,0.0,0.37859388972001823,0.0
